Analytics Export - 2025-05-31T02:56:24.989Z

OVERVIEW
Metric,Value
Total Trips,10
Total Users,3
Total Activities,62
Average Trip Length (days),4
Average Activities per Trip,7

TOP DESTINATIONS
City,Country,Trip Count,Percentage
"Paris","France",1,50%
"New York City","USA",1,50%

TRIP DURATIONS
Duration,Count,Percentage
"Short Trip (3-5 days)",8,80%
"Long Trip (6-10 days)",1,10%
"Weekend (1-2 days)",1,10%

ACTIVITY TAGS
Tag,Count,Percentage
"Sightseeing",11,21%
"Culture",11,21%
"Food",11,21%
"Rest",3,6%
"Untagged",3,6%
"Transport",3,6%
"food",3,6%
"culture",3,6%
"Romance",2,4%
"Shop",2,4%
